iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
PRY,Paraguay,South America,2021,6833614.0,43.48,361242.0,14444.0,6780745,53274.67704507396,2130.1494157352918,8.03277016,Latin America & Caribbean,Upper middle income
PER,Peru,South America,2021,51093638.0,64.86,1267339.0,109931.0,34049588,37220.391624121854,3228.5559519839126,6.67921352,Latin America & Caribbean,Upper middle income
PHL,Philippines,Asia,2021,108534301.0,42.94,2369471.0,42133.0,115559008,20504.424890874798,364.60160682583916,5.97500563,East Asia & Pacific,Lower middle income
PCN,Pitcairn,Oceania,2021,94.0,100.0,0.0,0.0,47,0.0,0.0,,,
POL,Poland,Europe,2021,46987401.0,52.8,2790909.0,67123.0,39857144,70022.80444379055,1684.0895574454605,6.43857718,Europe & Central Asia,High income
PRT,Portugal,Europe,2021,20043506.0,83.15,905174.0,12193.0,10270857,88130.32836500401,1187.1453375312303,11.1236763,Europe & Central Asia,High income
PRI,Puerto Rico,North America,2021,,,170031.0,1671.0,3252412,52278.43212975478,513.7725478813877,,Latin America & Caribbean,High income
QAT,Qatar,Asia,2021,5205664.0,82.31,104893.0,370.0,2695131,38919.44398992108,137.28460694489434,2.8927927,Middle East & North Africa,High income
REU,Reunion,Africa,2021,,,62886.0,359.0,974062,64560.5721196392,368.55970153850575,,,
ROU,Romania,Europe,2021,15824909.0,39.76,1188636.0,43428.0,19659270,60461.858451509135,2209.0342113415195,6.46980715,Europe & Central Asia,High income
RUS,Russia,Europe,2021,146364014.0,46.14,7341772.0,249440.0,144713312,50733.2179640806,1723.6838584690813,6.97584295,Europe & Central Asia,High income
RWA,Rwanda,Africa,2021,12588963.0,39.45,96695.0,1273.0,13776702,7018.73351111173,92.40237612746505,7.30378389,Sub-Saharan Africa,Low income
BLM,Saint Barthelemy,North America,2021,,,1537.0,4.0,10994,139803.5291977442,363.8348189921776,,,
SHN,Saint Helena,Africa,2021,7892.0,65.38,0.0,0.0,5401,0.0,0.0,,,
KNA,Saint Kitts and Nevis,North America,2021,54868.0,53.73,2806.0,28.0,47681,58849.436882615715,587.2360059562509,6.17941952,Latin America & Caribbean,High income
LCA,Saint Lucia,North America,2021,104994.0,27.42,12970.0,290.0,179872,72106.83152463974,1612.2576054082904,5.67880821,Latin America & Caribbean,Upper middle income
MAF,Saint Martin (French part),North America,2021,,,3132.0,27.0,31816,98441.03595675131,848.6296203168217,,Latin America & Caribbean,High income
SPM,Saint Pierre and Miquelon,North America,2021,,,82.0,0.0,5885,13933.72982158029,0.0,,,
VCT,Saint Vincent and the Grenadines,North America,2021,61198.0,25.24,5735.0,81.0,103959,55165.978895526125,779.1533200588693,5.36252117,Latin America & Caribbean,Upper middle income
WSM,Samoa,Oceania,2021,263189.0,54.75,1.0,0.0,222390,4.496605063177301,0.0,6.81255674,East Asia & Pacific,Lower middle income
SMR,San Marino,Europe,2021,53942.0,64.19,5348.0,41.0,33690,158741.4663104779,1216.9783318492134,7.51272249,Europe & Central Asia,High income
STP,Sao Tome and Principe,Africa,2021,137612.0,22.52,2730.0,40.0,227393,12005.646611813028,175.90691006319457,7.85889721,Sub-Saharan Africa,Lower middle income
SAU,Saudi Arabia,Asia,2021,50894142.0,63.67,190340.0,2694.0,36408824,5227.853555500721,73.99305179425735,5.93034029,Middle East & North Africa,High income
SEN,Senegal,Africa,2021,1903098.0,5.3,55830.0,1503.0,17316452,3224.1015653784043,86.79607115822571,4.44256258,Sub-Saharan Africa,Lower middle income
SRB,Serbia,Europe,2021,8239799.0,46.68,966126.0,9585.0,6871547,140598.03418356887,1394.882404209707,10.00950623,Europe & Central Asia,Upper middle income
SYC,Seychelles,Africa,2021,183472.0,73.05,24170.0,126.0,107135,225603.21090213282,1176.0862463247304,5.20266438,Sub-Saharan Africa,High income
