iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
OMN,Oman,Asia,2022,7108547.0,66.62,94250.0,148.0,4576300,20595.240696632653,32.340537115136684,2.9162159,Middle East & North Africa,High income,0.6358695652173914,0.08152173913043478,0.6304347826086957,0.4956521739130435,87
LAO,Laos,Asia,2022,11111066.0,69.36,111411.0,346.0,7529477,14796.645238440864,45.95272686270241,2.01825476,East Asia & Pacific,Lower middle income,0.6956521739130435,0.010869565217391304,0.5923913043478262,0.49347826086956526,88
BOL,Bolivia,South America,2022,14690530.0,50.4,571494.0,2750.0,12224114,46751.36373891801,224.9651794804924,8.43142891,Latin America & Caribbean,Lower middle income,0.43478260869565216,0.7282608695652174,0.38586956521739135,0.49347826086956526,88
PAK,Pakistan,Asia,2022,317080887.0,55.71,282570.0,1730.0,235824864,1198.219709351767,7.335952497358378,2.90434051,South Asia,Lower middle income,0.5163043478260869,0.07065217391304347,0.8097826086956521,0.4929347826086956,90
LVA,Latvia,Europe,2022,2895716.0,70.57,699090.0,2196.0,1850654,377752.94571540656,1186.6075452245532,7.62168407,Europe & Central Asia,High income,0.7119565217391305,0.6521739130434783,0.02717391304347827,0.4915760869565218,91
ATG,Antigua and Barbuda,North America,2022,136512.0,66.53,4877.0,28.0,93772,52009.12852450625,298.59659599880564,5.7299943,Latin America & Caribbean,High income,0.6304347826086957,0.42391304347826086,0.3369565217391305,0.4907608695652175,92
VEN,Venezuela,South America,2022,37860994.0,52.88,106845.0,518.0,28301700,3775.214916418448,18.302787465063936,4.55047369,Latin America & Caribbean,Not classified,0.47282608695652173,0.2826086956521739,0.6902173913043479,0.4904891304347826,93
MEX,Mexico,North America,2022,223158993.0,64.19,3243611.0,28067.0,127504120,25439.26423710857,220.12622023507944,5.72145176,Latin America & Caribbean,Upper middle income,0.592391304347826,0.41304347826086957,0.3913043478260869,0.4872282608695652,94
SSD,South Sudan,Africa,2022,2310167.0,20.25,3558.0,3.0,10913172,326.0280329128873,0.2748971609720803,6.76125622,Sub-Saharan Africa,Low income,0.1331521739130435,0.532608695652174,0.9619565217391304,0.48165760869565216,95
SYC,Seychelles,Africa,2022,219489.0,76.22,25974.0,46.0,107135,242441.779063798,429.36482008680633,4.2375164,Sub-Saharan Africa,High income,0.782608695652174,0.21739130434782608,0.25,0.48152173913043483,96
FJI,Fiji,Oceania,2022,1551184.0,68.89,15758.0,184.0,929769,16948.295759484346,197.8986178287295,4.00910091,East Asia & Pacific,Upper middle income,0.6847826086956522,0.19021739130434784,0.4130434782608695,0.47961956521739135,97
BDI,Burundi,Africa,2022,30480.0,0.22,25052.0,1.0,12889583,1943.5849864188776,0.0775820288367746,8.39522648,Sub-Saharan Africa,Low income,0.005434782608695652,0.7228260869565217,0.9728260869565217,0.475,98
LTU,Lithuania,Europe,2022,4539926.0,68.36,770216.0,2167.0,2750058,280072.6384679887,787.9833807141522,7.24335003,Europe & Central Asia,High income,0.6739130434782609,0.592391304347826,0.07608695652173914,0.4741847826086956,99
TZA,Tanzania,Africa,2022,35994687.0,44.69,13045.0,108.0,65497752,199.1671408814153,1.6489115534835457,3.1119566,Sub-Saharan Africa,Lower middle income,0.3804347826086957,0.09782608695652174,0.9239130434782609,0.47282608695652173,100
ZMB,Zambia,Africa,2022,12583850.0,42.74,102485.0,325.0,20017670,5119.726721441607,16.235655798102375,5.25592279,Sub-Saharan Africa,Lower middle income,0.3641304347826087,0.375,0.7119565217391304,0.471195652173913,101
PSE,Palestine,Asia,2022,3748571.0,33.85,234785.0,808.0,5250076,44720.30500129904,153.9025339823652,9.73336029,Middle East & North Africa,Lower middle income,0.2608695652173913,0.8478260869565217,0.4619565217391305,0.46793478260869564,102
BWA,Botswana,Africa,2022,3121142.0,54.22,115549.0,347.0,2630300,43929.96996540319,131.9241151199483,5.72838593,Sub-Saharan Africa,Upper middle income,0.483695652173913,0.41847826086956524,0.4836956521739131,0.46739130434782605,103
MNE,Montenegro,Europe,2022,679171.0,45.43,85963.0,340.0,627082,137084.14529519266,542.1938438673092,10.92241859,Europe & Central Asia,Upper middle income,0.391304347826087,0.9239130434782609,0.19565217391304346,0.4657608695652174,104
SVN,Slovenia,Europe,2022,2996643.0,57.66,843961.0,2712.0,2119843,398124.2950539262,1279.3400265963094,9.60507679,Europe & Central Asia,High income,0.5489130434782609,0.8260869565217391,0.010869565217391353,0.4567934782608696,105
